date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:35	54223/54223	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:34%20GMT	http://www.shivamahindra.in/outlet/showroom-lohia-nagar-ghaziabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/showroom-lohia-nagar-ghaziabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:36	56440/56440	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:35%20GMT	http://www.shivamahindra.in/outlet/workshop-behind-shri-ram-piston-co-ghaziabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/workshop-behind-shri-ram-piston-co-ghaziabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:37	56403/56403	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:36%20GMT	http://www.shivamahindra.in/outlet/workshop-near-reliance-petrol-pump-hapur.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/workshop-near-reliance-petrol-pump-hapur.html	(from http://www.shivamahindra.in/outlet.html)
10:52:38	56255/56255	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:37%20GMT	http://www.shivamahindra.in/outlet/showroom-garh-road-hapur.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/showroom-garh-road-hapur.html	(from http://www.shivamahindra.in/outlet.html)
10:52:38	56423/56423	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:37%20GMT	http://www.shivamahindra.in/outlet/workshop-link-road-police-chowki-ghaziabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/workshop-link-road-police-chowki-ghaziabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:39	56201/56201	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:38%20GMT	http://www.shivamahindra.in/outlet/showroom-loni-ghaziabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/showroom-loni-ghaziabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:40	55066/55066	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:39%20GMT	http://www.shivamahindra.in/outlet/mahindra-showroom-in-ghaziabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/mahindra-showroom-in-ghaziabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:40	49266/49266	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:40%20GMT	http://www.shivamahindra.in/outlet/mahindra-showroom-in-hapur.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/mahindra-showroom-in-hapur.html	(from http://www.shivamahindra.in/outlet.html)
10:52:41	49358/49358	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:40%20GMT	http://www.shivamahindra.in/outlet/mahindra-showroom-in-new-delhi.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/mahindra-showroom-in-new-delhi.html	(from http://www.shivamahindra.in/outlet.html)
10:52:42	49454/49454	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:41%20GMT	http://www.shivamahindra.in/outlet/mahindra-showroom-in-sahibabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/mahindra-showroom-in-sahibabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:43	54007/54007	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:42%20GMT	http://www.shivamahindra.in/outlet/mahindra-workshop-in-ghaziabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/mahindra-workshop-in-ghaziabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:43	48976/48976	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:43%20GMT	http://www.shivamahindra.in/outlet/mahindra-workshop-in-hapur.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/mahindra-workshop-in-hapur.html	(from http://www.shivamahindra.in/outlet.html)
10:52:44	2642/2642	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f2d2c4b-a52%22	http://www.shivamahindra.in/assets-theme/js/googlemap.js?v=1596795979	C:/Users/HP/Desktop/siva/www.shivamahindra.in/assets-theme/js/googlemap482a.js	(from http://www.shivamahindra.in/outlet.html)
10:52:54	65345/65345	---M--	200	added ('OK')	image/jpeg	etag:%225bf7f1c3-ff41%22	http://mahindraimages.dealersites.in/134/uploads/875276007.jpg	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/134/uploads/875276007.jpg	(from http://www.shivamahindra.in/mahindra-alturas.html)
10:52:57	332808/332808	---M--	200	added ('OK')	image/jpeg	etag:%225afd4082-51408%22	http://mahindraimages.dealersites.in/2/uploads/15789671.jpg	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/2/uploads/15789671.jpg	(from http://www.shivamahindra.in/bringshowroomhome.html)
10:52:58	80040/80040	---M--	200	added ('OK')	image/jpeg	etag:%225c61588a-138a8%22	http://mahindraimages.dealersites.in/134/uploads/1243019519.jpg	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/134/uploads/1243019519.jpg	(from http://www.shivamahindra.in/mahindra-xuv-300.html)
10:52:59	92157/92157	---M--	200	added ('OK')	image/jpeg	etag:%225c6139b7-167fd%22	http://mahindraimages.dealersites.in/134/uploads/10416351.jpg	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/134/uploads/10416351.jpg	(from http://www.shivamahindra.in/mahindra-xuv-300.html)
10:53:01	73832/73832	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:00%20GMT	http://www.shivamahindra.in/new-cars/mahindra-scorpio/price-in-new-delhi.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-scorpio/price-in-new-delhi.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:04	73462/73462	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:02%20GMT	http://www.shivamahindra.in/new-cars/mahindra-scorpio/pictures.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-scorpio/pictures.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:06	48950/48950	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:05%20GMT	http://www.shivamahindra.in/new-cars/mahindra-scorpio/colors.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-scorpio/colors.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:08	84151/84151	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:07%20GMT	http://www.shivamahindra.in/new-cars/mahindra-scorpio/specification.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-scorpio/specification.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:10	77559/77559	---M--	200	added ('OK')	image/jpeg	etag:%225c18a271-12ef7%22	http://mahindraimages.dealersites.in/134/uploads/513569582.jpg	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/134/uploads/513569582.jpg	(from http://www.shivamahindra.in/mahindra-KUV.html)
10:53:10	210720/210720	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:09%20GMT	http://www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s5.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s5.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:13	211031/211031	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:11%20GMT	http://www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s7.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s7.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:14	211024/211024	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:13%20GMT	http://www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s9.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s9.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:15	211494/211494	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:15%20GMT	http://www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s11.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/mahindra-scorpio/mahindra-scorpio-s11.html	(from http://www.shivamahindra.in/new-cars/mahindra-scorpio.html)
10:53:16	114197/114197	---M--	200	added ('OK')	image/jpeg	etag:%225c18a4cf-1be15%22	http://mahindraimages.dealersites.in/134/uploads/1320362461.jpg	C:/Users/HP/Desktop/siva/mahindraimages.dealersites.in/134/uploads/1320362461.jpg	(from http://www.shivamahindra.in/TUV-300.html)
10:53:17	66120/66120	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:16%20GMT	http://www.shivamahindra.in/new-cars/mahindra-bolero/price-in-new-delhi.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-bolero/price-in-new-delhi.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
10:53:18	51444/51444	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:17%20GMT	http://www.shivamahindra.in/new-cars/mahindra-bolero/pictures.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-bolero/pictures.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
10:53:19	48508/48508	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:23:18%20GMT	http://www.shivamahindra.in/new-cars/mahindra-bolero/colors.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/new-cars/mahindra-bolero/colors.html	(from http://www.shivamahindra.in/new-cars/mahindra-bolero.html)
